run	target	task	rms	r	p	q
734484.6017	CSM	vergtr	0.482	0.133	0.170	0.89
734484.6083	CSM	fix	0.597	0.000	1.000	0.93
734484.6083	CSM	sacc	2.462	0.521	0.000	0.88
734484.6083	CSM	spem	2.927	0.600	0.000	0.90
734484.6083	CSM	vergst	2.735	0.069	0.000	0.93
734484.6083	CSM	vergtr	2.313	0.182	0.031	0.87
734560.3922	sol	fix	0.389	0.000	1.000	0.95
734560.3922	sol	sacc	1.809	0.762	0.000	1.00
734560.3922	sol	spem	1.531	0.903	0.000	0.99
734560.3922	sol	vergst	3.445	0.049	0.002	0.98
734560.3922	sol	vergtr	3.456	0.029	0.008	0.97
734560.3978	sol	fix	0.410	0.000	1.000	0.96
734560.3978	sol	sacc	1.822	0.747	0.000	1.00
734560.3978	sol	spem	1.578	0.900	0.000	0.96
734560.3978	sol	vergst	0.442	0.134	0.011	0.99
734560.3978	sol	vergtr	0.445	0.161	0.000	0.99
734560.4034	sol	fix	0.241	0.000	1.000	0.98
734560.4034	sol	sacc	1.812	0.761	0.000	1.00
734560.4034	sol	spem	1.462	0.905	0.000	0.94
734560.4034	sol	vergst	3.528	0.060	0.000	0.99
734560.4034	sol	vergtr	2.485	0.220	0.000	0.97
734560.4099	sol	fix	0.741	0.000	1.000	0.70
734560.4099	sol	sacc	2.162	0.641	0.000	0.78
734560.4099	sol	spem	2.033	0.775	0.000	0.61
734560.4099	sol	vergst	0.831	0.183	0.000	0.82
734560.4099	sol	vergtr	0.826	0.085	0.009	0.64
734560.4297	sol	fix	0.220	0.000	1.000	0.98
734560.4297	sol	sacc	1.919	0.740	0.000	1.00
734560.4297	sol	spem	1.656	0.895	0.000	0.99
734560.4297	sol	vergst	0.311	0.195	0.000	1.00
734560.4297	sol	vergtr	0.351	0.106	0.024	0.99
734560.4355	sol	fix	0.249	0.000	1.000	0.97
734560.4355	sol	sacc	1.923	0.738	0.000	1.00
734560.4355	sol	spem	1.689	0.891	0.000	0.99
