run	target	task	rms	r	p	q
734560.5648	CSM	vergtr	6.703	0.034	0.158	0.99
734560.5726	CSM	fix	1.085	0.000	1.000	0.97
734560.5726	CSM	sacc	4.124	0.690	0.000	1.00
734560.5726	CSM	spem	3.434	0.891	0.000	1.00
734560.5726	CSM	vergst	1.114	0.120	0.000	1.00
734560.5726	CSM	vergtr	1.137	0.159	0.000	0.99
734560.5782	CSM	fix	0.630	0.000	1.000	0.99
734560.5782	CSM	sacc	4.271	0.664	0.000	0.99
734560.5782	CSM	spem	3.538	0.880	0.000	1.00
734560.5782	CSM	vergst	7.137	0.053	0.035	0.99
734560.5782	CSM	vergtr	4.966	0.178	0.000	0.98
734560.5855	CSM	fix	0.970	0.000	1.000	0.96
734560.5855	CSM	sacc	4.209	0.684	0.000	0.99
734560.5855	CSM	spem	3.710	0.868	0.000	1.00
734560.5855	CSM	vergst	1.056	0.118	0.174	0.99
734560.5855	CSM	vergtr	1.038	0.102	0.000	0.99
734560.5996	CSM	fix	0.915	0.000	1.000	0.98
734560.5996	CSM	sacc	4.201	0.672	0.000	1.00
734560.5996	CSM	spem	4.045	0.844	0.000	1.00
734560.5996	CSM	vergst	6.951	0.098	0.000	0.98
734560.5996	CSM	vergtr	4.788	0.247	0.000	0.99
734595.397 	sol	fix	0.200	0.000	1.000	1.00
734595.397 	sol	sacc	4.057	0.672	0.000	0.99
734595.397 	sol	spem	4.371	0.786	0.000	0.99
734595.397 	sol	vergst	5.622	0.071	0.000	1.00
734595.397 	sol	vergtr	5.577	0.044	0.002	1.00
734595.4043	sol	fix	0.386	0.000	1.000	1.00
734595.4043	sol	sacc	3.766	0.737	0.000	1.00
734595.4043	sol	spem	3.618	0.862	0.000	0.99
734595.4043	sol	vergst	6.461	0.074	0.014	1.00
734595.4043	sol	vergtr	6.466	0.021	0.092	1.00
734595.4112	sol	fix	0.469	0.000	1.000	1.00
734595.4112	sol	sacc	3.923	0.713	0.000	1.00
734595.4112	sol	spem	3.725	0.857	0.000	1.00
734595.4112	sol	vergst	0.690	0.298	0.000	0.99
734595.4112	sol	vergtr	0.671	0.063	0.001	1.00
734595.4188	sol	fix	0.644	0.000	1.000	0.93
734595.4188	sol	sacc	3.843	0.731	0.000	1.00
734595.4188	sol	spem	3.801	0.845	0.000	0.99
734595.4188	sol	vergst	6.496	0.077	0.031	1.00
734595.4188	sol	vergtr	4.922	0.233	0.000	1.00
734595.4267	sol	fix	0.660	0.000	1.000	0.99
734595.4267	sol	sacc	3.901	0.719	0.000	1.00
734595.4267	sol	spem	3.840	0.848	0.000	1.00
734595.4267	sol	vergst	0.792	0.187	0.000	1.00
734595.4267	sol	vergtr	0.820	0.096	0.012	1.00
734595.4333	sol	fix	0.788	0.000	1.000	1.00
734595.4333	sol	sacc	4.272	0.652	0.000	1.00
734595.4333	sol	spem	4.145	0.827	0.000	0.99
734595.4333	sol	vergst	6.867	0.038	0.026	0.98
734595.4333	sol	vergtr	4.637	0.184	0.000	0.99
734595.4423	sol	fix	1.016	0.000	1.000	1.00
734595.4423	sol	sacc	4.284	0.628	0.000	0.96
734595.4423	sol	spem	4.500	0.794	0.000	0.99
734595.4423	sol	vergst	6.672	0.057	0.000	1.00
734595.4423	sol	vergtr	4.337	0.227	0.000	1.00
734595.4773	sol	fix	1.347	0.000	1.000	0.90
734595.4773	sol	sacc	3.873	0.741	0.000	0.97
734595.4773	sol	spem	3.209	0.891	0.000	0.97
734595.4773	sol	vergst	6.987	0.054	0.279	0.97
734595.4773	sol	vergtr	6.991	0.008	0.597	0.92
734595.4848	sol	fix	1.877	0.000	1.000	0.76
734595.4848	sol	sacc	4.220	0.684	0.000	0.91
734595.4848	sol	spem	3.591	0.811	0.000	0.85
734595.4848	sol	vergst	1.917	0.020	0.350	0.88
734595.4848	sol	vergtr	1.979	0.056	0.187	0.91
734595.4924	sol	fix	1.286	0.000	1.000	0.93
734595.4924	sol	sacc	5.425	0.434	0.000	0.94
734595.4924	sol	spem	6.843	0.373	0.000	0.72
734595.4924	sol	vergst	5.558	0.043	0.010	0.95
734595.4924	sol	vergtr	4.852	0.194	0.000	0.96
734595.5009	sol	fix	0.877	0.000	1.000	0.91
734595.5009	sol	sacc	4.014	0.717	0.000	0.99
734595.5009	sol	spem	3.372	0.876	0.000	0.97
734595.5009	sol	vergst	0.952	0.060	0.087	0.97
734595.5009	sol	vergtr	0.985	0.044	0.208	0.97
734595.5087	sol	fix	0.898	0.000	1.000	0.95
734595.5087	sol	sacc	4.077	0.715	0.000	1.00
734595.5087	sol	spem	3.283	0.885	0.000	0.97
734595.5087	sol	vergst	6.980	0.062	0.000	0.97
734595.5087	sol	vergtr	5.485	0.205	0.000	0.95
734595.5447	CSM	fix	1.067	0.000	1.000	1.00
734595.5447	CSM	sacc	4.586	0.607	0.000	1.00
